Opponent (bot),Dave's Player
P,S
P,P
P,P
S,P
S,S
S,P
S,R
R,P
S,R
S,R
P,S
S,S
S,R
R,R
P,S
S,R
R,S
P,P
P,P
S,S
S,P
S,R
R,P
P,P
S,P
S,R
R,P
S,P
S,R
R,P
S,P
S,R
S,P
S,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
P,R
S,P
